+-----+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+------------+
|  id |                                                                                        sentence1                                                                                         |                                                                                           sentence2                                                                                            | label | Similarity |
+-----+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+------------+
|  1  |           This was a series of nested angular standards , so that measurements in azimuth and elevation could be done directly in polar coordinates relative to the ecliptic .           |             This was a series of nested polar scales , so that measurements in azimuth and elevation could be performed directly in angular coordinates relative to the ecliptic .             |   0   |     0      |
|  2  |                       His father emigrated to Missouri in 1868 but returned when his wife became ill and before the rest of the family could also go to America .                        |                            His father emigrated to America in 1868 , but returned when his wife became ill and before the rest of the family could go to Missouri .                            |   0   |     1      |
|  3  |                 In January 2011 , the Deputy Secretary General of FIBA Asia , Hagop Khajirian , inspected the venue together with SBP - President Manuel V. Pangilinan .                 |                            In January 2011 , FIBA Asia deputy secretary general Hagop Khajirian along with SBP president Manuel V. Pangilinan inspected the venue .                            |   1   |     1      |
|  4  | Steiner argued that , in the right circumstances , the spiritual world can be explored through direct experience by practicing ethical and cognitive forms of rigorous self-discipline . | Steiner held that the spiritual world can be researched in the right circumstances through direct experience , by persons practicing rigorous forms of ethical and cognitive self-discipline . |   0   |     0      |
|  5  |                                             Luciano Williames Dias ( born July 25 , 1970 ) is a Brazilian football coach and former player .                                             |                                                 Luciano Williames Dias ( born 25 July 1970 ) is a former football coach and Brazilian player .                                                 |   0   |     1      |
|  6  |                         During her sophomore , junior and senior summers , she spent half of it with her Alaska team , and half playing , and living in Oregon .                         |                                During her second , junior and senior summers , she spent half of it with her Alaska team , half playing and living in Oregon .                                 |   1   |     1      |
|  7  |                           The smallest number that can be represented in two positive and seventh ways as a sum of four different powers is 2056364173794800 .                           |                               The smallest number that can be represented as a sum of four positive seventh potences in two different ways is 2056364173794800 .                               |   0   |     1      |
|  8  |                         His father emigrated to Missouri in 1868 , but returned when his wife became ill and before the rest of the family could go to America .                         |                          His father emigrated to Missouri in 1868 but returned when his wife became ill and before the rest of the family could also go to America .                           |   1   |     1      |
|  9  |                                    The Villa Pesquera facilities are owned by the Municipality of Ponce , but operated by the fishermen themselves .                                     |                                         The facilities of Villa Pesquera are operated by the Municipality of Ponce , but are owned by the fishermen .                                          |   0   |     1      |
|  10 |                                                           It is situated south of Köroğlu Mountains and to the north of Bolu .                                                           |                                                              It is situated south of Köroğlu - mountains and north of the Bolu .                                                               |   1   |     1      |
|  11 |                                                The Río Blanco mine is a large copper mine located in the north of Peru in Loreto Region .                                                |                                                    The Río Blanco - Mine is a large copper mine in northern Peru in the region of Loreto .                                                     |   1   |     1      |
